date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
1/12/2021,Georgia,170571,960975,85110,0.07,1.61,7746,0.8,9.05,,,,0.177,,
1/13/2021,Georgia,198756,1003975,86105,0.08,1.87,8937,0.81,9.46,28185,28185,2655,0.198,,
1/14/2021,Georgia,231305,1010900,204301,,2.18,,1.92,9.52,32549,30367,2860,0.229,,
1/15/2021,Georgia,231305,1011200,204301,0.21,2.18,22324,1.92,9.52,0,20245,1907,0.229,,
1/16/2021,Georgia,,,,,,,,,,20248,1907,,,
1/17/2021,Georgia,,,,,,,,,,20250,1907,,,
1/18/2021,Georgia,,,,,,,,,,20251,1907,,,
1/19/2021,Georgia,312336,1011200,278151,0.27,2.94,28907,2.62,9.52,,20252,1907,0.309,,
1/20/2021,Georgia,397048,1077375,356010,0.33,3.74,35029,3.35,10.15,84712,28327,2668,0.369,,
1/21/2021,Georgia,453862,1162275,407000,0.38,4.27,39972,3.83,10.95,56814,31794,2995,0.39,,
1/22/2021,Georgia,603486,1235375,533665,0.56,5.68,59925,5.03,11.64,149624,53169,5008,0.489,,
1/23/2021,Georgia,604067,1235775,534161,0.56,5.69,59965,5.03,11.64,581,50358,4743,0.489,,
1/24/2021,Georgia,604067,1235775,534161,0.56,5.69,59965,5.03,11.64,0,47464,4470,0.489,,
1/25/2021,Georgia,604067,1235775,534161,0.56,5.69,59965,5.03,11.64,0,44570,4198,0.489,,
1/26/2021,Georgia,668589,1309850,591385,0.61,6.3,64989,5.57,12.34,64522,50893,4793,0.51,,
1/27/2021,Georgia,712866,1412450,622905,0.71,6.71,75360,5.87,13.3,44277,45117,4249,0.505,,
1/28/2021,Georgia,764211,1441025,659212,0.84,7.2,89305,6.21,13.57,51345,44336,4176,0.53,,
1/29/2021,Georgia,810291,1448825,693085,0.94,7.63,99941,6.53,13.65,46080,29544,2783,0.559,,
1/30/2021,Georgia,856746,1449800,729117,1.03,8.07,109311,6.87,13.65,46455,36097,3400,0.591,,
1/31/2021,Georgia,906186,1449800,766875,1.13,8.53,119878,7.22,13.65,49440,43160,4065,0.625,,
2/1/2021,Georgia,930517,1449800,785487,1.18,8.76,125548,7.4,13.65,24331,46636,4392,0.642,,
2/2/2021,Georgia,940066,1557175,790354,1.22,8.85,129885,7.44,14.67,9549,38782,3653,0.604,,
2/3/2021,Georgia,975038,1638700,813214,1.33,9.18,140900,7.66,15.43,34972,37453,3528,0.595,,
2/4/2021,Georgia,1008040,1686125,834091,1.44,9.49,152626,7.86,15.88,33002,34833,3281,0.598,,
2/5/2021,Georgia,1051622,1688075,860543,1.59,9.9,169163,8.11,15.9,43582,34476,3247,0.623,,
2/6/2021,Georgia,1098863,1688075,887597,1.78,10.35,188736,8.36,15.9,47241,34588,3258,0.651,,
2/7/2021,Georgia,1146024,1688075,912189,1.98,10.79,210237,8.59,15.9,47161,34263,3227,0.679,,
2/8/2021,Georgia,1167738,1688075,923282,2.07,11,219840,8.7,15.9,21714,33889,3192,0.692,,
2/9/2021,Georgia,1179950,1840775,927176,2.15,11.11,227997,8.73,17.34,12212,34269,3228,0.641,,
2/10/2021,Georgia,1223850,1914800,946505,2.37,11.53,251946,8.91,18.03,43900,35545,3348,0.639,,
2/11/2021,Georgia,1273015,2017525,967179,2.63,11.99,279546,9.11,19,49165,37854,3565,0.631,,
2/12/2021,Georgia,1273015,2017525,967179,2.63,11.99,279546,9.11,19,0,31628,2979,0.631,,
2/13/2021,Georgia,1328795,2020275,987693,2.96,12.52,313961,9.3,19.03,55780,32847,3094,0.658,,
2/14/2021,Georgia,1437718,2020275,1027629,3.58,13.54,380394,9.68,19.03,108923,41671,3925,0.712,,
2/15/2021,Georgia,,,,,,,,,,41120,3873,,,
2/16/2021,Georgia,1473440,2130100,1040075,3.79,13.88,402578,9.8,20.06,,41927,3949,0.692,,
2/17/2021,Georgia,1473440,2131775,1040075,3.79,13.88,402578,9.8,20.08,0,35656,3358,0.691,,
2/18/2021,Georgia,1569216,2145525,1073929,4.36,14.78,462570,10.11,20.21,95776,42314,3985,0.731,,
2/19/2021,Georgia,1720789,2286360,1158554,4.97,16.21,527556,10.91,21.53,151573,63968,6025,0.753,,
2/20/2021,Georgia,1786755,2292085,1181826,5.35,16.83,568299,11.13,21.59,65966,65423,6162,0.78,,
2/21/2021,Georgia,,,,,,,,,,56072,5281,,,
2/22/2021,Georgia,1873683,2292085,1188521,5.84,17.65,620186,11.19,21.59,,59729,5626,0.817,,
2/23/2021,Georgia,1880429,2369305,1191004,5.88,17.71,624352,11.22,22.32,6746,58141,5476,0.794,,
2/24/2021,Georgia,1919262,2535925,1203510,6.12,18.08,649555,11.34,23.88,38833,63689,5999,0.757,,
2/25/2021,Georgia,1961849,2645625,1219200,6.36,18.48,674956,11.48,24.92,42587,56090,5283,0.742,,
